测站点,观测方向,观测类型,观测值,测站高,棱镜高,站点序号(平差),目标序号(平差) 
p2,p1,Hz,0.174543799,0.288500011,0.29,1,0
p2,p1,Vertical,1.568941728,0.288500011,0.29,1,0
p2,p1,Sdist,43.37882502,0.288500011,0.29,1,0
p2,p1,Hz,0.174550913,0.288500011,0.29,1,0
p2,p1,Vertical,1.568940415,0.288500011,0.29,1,0
p2,p1,Sdist,43.37892502,0.288500011,0.29,1,0
p2,p1,Hz,0.174551638,0.288500011,0.29,1,0
p2,p1,Vertical,1.568943806,0.288500011,0.29,1,0
p2,p1,Sdist,43.37872502,0.288500011,0.29,1,0
p3,p2,Hz,0.174545815,0.286500007,0.287,2,1
p3,p2,Vertical,1.573389984,0.286500007,0.287,2,1
p3,p2,Sdist,51.77728299,0.286500007,0.287,2,1
p3,p2,Hz,0.174551716,0.286500007,0.287,2,1
p3,p2,Vertical,1.573376455,0.286500007,0.287,2,1
p3,p2,Sdist,51.77738299,0.286500007,0.287,2,1
p3,p2,Hz,0.174608556,0.286500007,0.287,2,1
p3,p2,Vertical,1.573357439,0.286500007,0.287,2,1
p3,p2,Sdist,51.77748299,0.286500007,0.287,2,1
p3,p2,Hz,0.174550506,0.286500007,0.287,2,1
p3,p2,Vertical,1.573367245,0.286500007,0.287,2,1
p3,p2,Sdist,51.77748299,0.286500007,0.287,2,1
p3,p2,Hz,0.174561039,0.286500007,0.287,2,1
p3,p2,Vertical,1.573367078,0.286500007,0.287,2,1
p3,p2,Sdist,51.77728299,0.286500007,0.287,2,1
p3,p2,Hz,0.174559981,0.286500007,0.287,2,1
p3,p2,Vertical,1.573352868,0.286500007,0.287,2,1
p3,p2,Sdist,51.77748299,0.286500007,0.287,2,1
p3,p2,Hz,0.174569622,0.286500007,0.287,2,1
p3,p2,Vertical,1.573383307,0.286500007,0.287,2,1
p3,p2,Sdist,51.77728299,0.286500007,0.287,2,1
p3,p2,Hz,0.174560545,0.286500007,0.287,2,1
p3,p2,Vertical,1.573354397,0.286500007,0.287,2,1
p3,p2,Sdist,51.77728299,0.286500007,0.287,2,1
p3,p2,Hz,0.17455946,0.286500007,0.287,2,1
p3,p2,Vertical,1.573364845,0.286500007,0.287,2,1
p3,p2,Sdist,51.77738299,0.286500007,0.287,2,1
p3,p2,Hz,0.174562944,0.286500007,0.287,2,1
